slug,diagnostic_id,body,body_positive,category,factor,question_type,matrix,negative,active
OE-T360-8,3,"What is one thing, if the team learned to do it well, would have enormous impact?",,NoCategory,NoFactor,Open-Ended,0,false,true
OE-T360-9,3,What is your assessment of the team?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-T360-10,3,What is the team tolerating?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-1,4,What does this organization value? You see it often; it gets repeated.,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-2,4,What are the top three strengths of this organization?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-3,4,What are the top three challenges facing this organization?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-4,4,What are this organization’s top three priorities?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-5,4,What would best support this organization – now?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-6,4,What will keep this organization aligned with its mission?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-7,4,What is your assessment of the organization?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-8,4,How do you know if the organization is successful?,,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-9,4,"What is one thing, if the organization learned to do it well, that would have enormous impact?",,NoCategory,NoFactor,Open-Ended,0,false,true
OE-ORG-10,4,What is the organization tolerating?,,NoCategory,NoFactor,Open-Ended,0,false,true
FT-Positivity-Rating-Optimism-1,6,Our family is tremendously enthusiastic and optimistic.,,Positivity,Optimism,Rating,1,,true
FT-Positivity-Rating-Optimism-2,6,We bring optimism to our life together.,,Positivity,Optimism,Rating,2,false,true
FT-Positivity-Rating-Optimism-3,6,We have an inspiring shared family vision.,,Positivity,Optimism,Rating,3,,true
FT-Positivity-Rating-Optimism-4,6,We tend to dwell on our family’s past difficulties.,We do not tend to dwell on our family’s past difficulties.,Positivity,Optimism,Rating,4,true,true
FT-Positivity-Rating-Optimism-5,6,Cynicism is prevalent in our family.,Cynicism is not prevalent in our family.,Positivity,Optimism,Rating,5,true,true
FT-Positivity-Rating-Optimism-6,6,There is an underlying sense of helplessness and hopelessness in our family.,There is not an underlying sense of helplessness and hopelessness in our family.,Positivity,Optimism,Rating,6,true,true
FT-Positivity-Rating-Optimism-7,6,There is an attitude of gratitude and appreciation in our family.,,Positivity,Optimism,Rating,7,,true
FT-Positivity-Rating-Trust-8,6,We live in a fear-based environment.,We do not live in a fear-based environment.,Positivity,Trust,Rating,8,true,true
FT-Positivity-Rating-Trust-9,6,We are not afraid to take risks by being vulnerable with each other.,,Positivity,Trust,Rating,9,,true
FT-Positivity-Rating-Trust-10,6,We trust each other enough to reveal our vulnerabilities within our family.,,Positivity,Trust,Rating,10,,true
FT-Positivity-Rating-Respect-12,6,We have positive regard for each other.,,Positivity,Respect,Rating,12,false,true
FT-Positivity-Rating-Respect-14,6,All members of our family are equally valued.,,Positivity,Respect,Rating,14,,true
FT-Positivity-Rating-Respect-15,6,Members of our family speak with contempt about other family members.,Members of our family do not speak with contempt about other family members.,Positivity,Respect,Rating,15,true,true
FT-Positivity-Rating-Communication-16,6,We engage in gossip about family members.,We do not engage in gossip about family members.,Positivity,Communication,Rating,16,true,true
FT-Positivity-Rating-Communication-17,6,“Playing politics” is used to get one’s way in our family.,“Playing politics” is not used to get one’s way in our family.,Positivity,Communication,Rating,17,true,true
FT-Positivity-Rating-Communication-19,6,"In our family, we “sugar coat” the truth to avoid upsetting or hurting someone’s feelings.","In our family, we do not “sugar coat” the truth to avoid upsetting or hurting someone’s feelings.",Positivity,Communication,Rating,19,true,true
FT-Positivity-Rating-Communication-20,6,Family members often withdraw from communication or respond emotionally when problems arise.,Family members do not withdraw from communication or respond emotionally when problems arise.,Positivity,Communication,Rating,20,true,true
FT-Positivity-Rating-Constructive Interaction-21,6,Our family knows how to work through conflict constructively.,,Positivity,Constructive Interaction,Rating,21,,true
FT-Positivity-Rating-Constructive Interaction-23,6,We have family agreements regarding how we interact when conflict arises.,,Positivity,Constructive Interaction,Rating,23,,true
FT-Positivity-Rating-Constructive Interaction-25,6,Family members criticize other family members behind their backs.,Family members do not criticize other family members behind their backs.,Positivity,Constructive Interaction,Rating,25,true,true
FT-Positivity-Rating-Constructive Interaction-26,6,We are frequently frustrated with each other.,We are not frequently frustrated with each other.,Positivity,Constructive Interaction,Rating,26,true,true
FT-Positivity-Rating-Constructive Interaction-27,6,"In our family, members become defensive when mistakes are pointed out.","In our family, members are not defensive when mistakes are pointed out.",Positivity,Constructive Interaction,Rating,27,true,true
FT-Positivity-Rating-Constructive Interaction-28,6,We promptly and directly address conflict.,,Positivity,Constructive Interaction,Rating,28,,true
FT-Positivity-Rating-Constructive Interaction-29,6,"We appreciate and invite feedback on our family contributions, styles and performance.",,Positivity,Constructive Interaction,Rating,29,,true
FT-Positivity-Rating-Constructive Interaction-30,6,"Even in heated debates, we respectfully listen to each other.",,Positivity,Constructive Interaction,Rating,30,,true
FT-Positivity-Rating-Constructive Interaction-32,6,"Even though conflict can be highly annoying, we recognize it helps our family grow.",,Positivity,Constructive Interaction,Rating,32,,true
FT-Positivity-Rating-Camaraderie-33,6,There is a strong sense of harmony and belonging in our family.,,Positivity,Camaraderie,Rating,33,,true
FT-Positivity-Rating-Camaraderie-34,6,We are empathetic with each other.,,Positivity,Camaraderie,Rating,34,,true
FT-Positivity-Rating-Camaraderie-36,6,Playfulness and humor are absent in our family.,Playfulness and humor are present in our family.,Positivity,Camaraderie,Rating,36,true,true
FT-Positivity-Rating-Camaraderie-37,6,I enjoy performing tasks with the members of this family.,,Positivity,Camaraderie,Rating,37,,true
FT-Positivity-Rating-Values Diversity-38,6,"We truly value diversity in thought, personality, and lifestyle in our family.",,Positivity,Values Diversity,Rating,38,false,true
FT-Positivity-Rating-Values Diversity-39,6,Curiosity is valued in our family.,,Positivity,Values Diversity,Rating,39,,true
FT-Positivity-Rating-Values Diversity-40,6,"We explore and value all opinions in our family, even the unpopular ones.",,Positivity,Values Diversity,Rating,40,,true
FT-Positivity-Rating-Values Diversity-41,6,New and/or controversial ideas are discouraged in this family. ,New and/or controversial ideas are encouraged in this family.,Positivity,Values Diversity,Rating,41,true,true
FT-Productivity-Rating-Goals & Strategies-42,6,Our family is highly resilient and not easily defeated in our goals.,,Productivity,Goals & Strategies,Rating,42,,true
FT-Productivity-Rating-Goals & Strategies-43,6,We have established challenging goals/objectives for our family.,,Productivity,Goals & Strategies,Rating,43,false,true
FT-Productivity-Rating-Goals & Strategies-44,6,Our family goals are unclear.,Our family goals are clear.,Productivity,Goals & Strategies,Rating,44,true,true
FT-Productivity-Rating-Goals & Strategies-45,6,"As a family, we have developed sound strategies for accomplishing our goals.",,Productivity,Goals & Strategies,Rating,45,false,true
FT-Productivity-Rating-Goals & Strategies-46,6,"Recognition, rewards, and compensation are linked to achievement in our family.",,Productivity,Goals & Strategies,Rating,46,,true
FT-Productivity-Rating-Goals & Strategies-47,6,As a family we are united on our priorities and ideas.,,Productivity,Goals & Strategies,Rating,47,,true
FT-Productivity-Rating-Alignment-48,6,There is a spirit of cooperation in our family.,,Productivity,Alignment,Rating,48,,true
FT-Productivity-Rating-Alignment-49,6,"In our family, there is a collective ownership of achievements.",,Productivity,Alignment,Rating,49,false,true
FT-Productivity-Rating-Alignment-50,6,There is a sense of interdependence among family members. We can count on each other.,,Productivity,Alignment,Rating,50,,true
FT-Productivity-Rating-Alignment-51,6,We are cohesive as a family and work well together. ,,Productivity,Alignment,Rating,51,,true
FT-Productivity-Rating-Alignment-52,6,"When the going gets tough, we tend to come together as a family.",,Productivity,Alignment,Rating,52,,true
FT-Productivity-Rating-Accountability-53,6,There is on-going confusion over roles and responsibilities in our family. ,There no on-going confusion over roles and responsibilities in our family. ,Productivity,Accountability,Rating,53,true,true
FT-Productivity-Rating-Accountability-54,6,"In our family, we tend to say, “It’s not my job” when problems arise.","In our family, we tend to say, “It’s not my job” when problems arise.",Productivity,Accountability,Rating,54,true,true
FT-Productivity-Rating-Accountability-55,6,There is a high expectation of accountability and follow through in our family.,,Productivity,Accountability,Rating,55,,true
FT-Productivity-Rating-Accountability-56,6,Family members make excuses when tasks/responsibilities do not get done.,Family members do not make excuses when tasks/responsibilities do not get done.,Productivity,Accountability,Rating,56,true,true
FT-Productivity-Rating-Resources-57,6,There is a “win/lose” mentality in this family where my achievements become someone else’s losses.,There is not a “win/lose” mentality on this family where my achievements become someone else’s losses.,Productivity,Resources,Rating,57,true,true
FT-Productivity-Rating-Resources-58,6,Our family has the basic requirements to be successful.,,Productivity,Resources,Rating,58,,true
FT-Productivity-Rating-Resources-59,6,"In spite of limited resources, we find ways to accomplish our family goals.",,Productivity,Resources,Rating,59,,true
FT-Productivity-Rating-Resources-60,6,Turf protection is prevalent in our family.,Turf protection is not prevalent in our family.,Productivity,Resources,Rating,60,true,true
FT-Productivity-Rating-Resources-61,6,We have not had adequate family direction to be as effective as we need to be.,We have had adequate family direction to be as effective as we need to be.,Productivity,Resources,Rating,61,true,true
FT-Productivity-Rating-Resources-62,6,We are highly diverse in our individual skills and what we bring to the family.,,Productivity,Resources,Rating,62,,true
FT-Productivity-Rating-Resources-63,6,Exhaustion is an issue in our family.,Exhaustion is not an issue in our family.,Productivity,Resources,Rating,63,true,true
FT-Productivity-Rating-Resources-64,6,Symptoms of apathy and weariness are present in our family.,Symptoms of apathy and weariness are not present in our family.,Productivity,Resources,Rating,64,true,true
FT-Productivity-Rating-Decision Making-65,6,We have a strong track record for making smart decisions as a family.,,Productivity,Decision Making,Rating,65,false,true
FT-Productivity-Rating-Decision Making-66,6,Our family has an inefficient decision-making process.,Our family has an efficient decision-making process.,Productivity,Decision Making,Rating,66,true,true
FT-Productivity-Rating-Decision Making-67,6,Our family seeks basic input from each other when making decisions. ,,Productivity,Decision Making,Rating,67,,true
FT-Productivity-Rating-Decision Making-69,6,We tailor our decision-making processes to the situation.,,Productivity,Decision Making,Rating,69,false,true
FT-Productivity-Rating-Proactive-70,6,"As a family, we are resistant to change and prefer to maintain the status quo.","As a family, we welcome change and do not prefer to maintain the status quo.",Productivity,Proactive,Rating,70,true,true
FT-Productivity-Rating-Proactive-71,6,We seek and support improvements in our family  processes.,,Productivity,Proactive,Rating,71,,true
FT-Productivity-Rating-Proactive-72,6,"When it comes to embracing change, we are positive role models for our extended families.",,Productivity,Proactive,Rating,72,false,true
FT-Productivity-Rating-Proactive-73,6,"As problems arise, our family responds quickly and with flexibility.",,Productivity,Proactive,Rating,73,false,true
FT-Productivity-Rating-Proactive-74,6,Our family addresses problems in a timely manner.,,Productivity,Proactive,Rating,74,,true
FT-Productivity-Rating-Proactive-75,6,Our family lacks the flexibility to respond to change.,Our family has the flexibility to respond to change.,Productivity,Proactive,Rating,75,true,true
FT-Productivity-Rating-Proactive-76,6,Creativity is one of our strengths as a family.,,Productivity,Proactive,Rating,76,,true
FT-Productivity-Rating-Team Leadership-77,6,Our family leaders use a broad range of appropriate leadership styles depending on the situation.,,Productivity,Team Leadership,Rating,77,false,true
FT-Productivity-Rating-Team Leadership-78,6,There is significant incompetence operating within our family.,There is not significant incompetence operating within our family.,Productivity,Team Leadership,Rating,78,true,true
FT-Productivity-Rating-Team Leadership-79,6,Our family has an appropriate balance of striving for achievement and maintaining good relationships between family members.,,Productivity,Team Leadership,Rating,79,,true
FT-Productivity-Rating-Team Leadership-80,6,Our family leadership inspires us when needed.,,Productivity,Team Leadership,Rating,80,false,true
